,Google,Yahoo,Bing,BCCWJ
私,18.08 ,20.49 ,17.87 ,10.37 
僕,16.85 ,19.08 ,16.15 ,8.25 
俺,16.72 ,18.77 ,15.95 ,7.47 
儂,10.65 ,12.71 ,9.79 ,3.50 
わたし,15.87 ,18.07 ,15.52 ,8.28 
ぼく,15.06 ,17.14 ,14.88 ,7.83 
おれ,14.58 ,16.56 ,14.32 ,7.24 
わし,13.39 ,15.40 ,15.09 ,6.36 
あたし,14.93 ,17.32 ,14.70 ,6.19 
あたい,11.78 ,13.99 ,15.32 ,1.61 
わたくし,13.20 ,15.38 ,13.82 ,5.26 
あたくし,14.81 ,13.30 ,14.68 ,2.40 
小生,12.96 ,15.02 ,12.59 ,3.00 
ワタシ,14.20 ,16.29 ,13.53 ,2.89 
ボク,14.63 ,16.87 ,14.32 ,4.89 
オレ,14.90 ,17.08 ,14.65 ,5.35 
ワシ,13.04 ,15.07 ,13.43 ,3.64 
アタシ,13.61 ,15.83 ,13.00 ,3.09 
アタイ,10.99 ,13.23 ,15.78 ,0.00 
ワタクシ,14.53 ,15.20 ,12.86 ,0.00 
アタクシ,10.68 ,12.92 ,12.86 ,0.00 
